origin,destination,year,inflows
Finland,Slovenia,2012,38
Finland,Slovenia,2013,59
Finland,Slovenia,2014,40
Finland,Slovenia,2015,45
Finland,Slovenia,2016,66
France,Austria,2000,628
France,Austria,2001,609
France,Austria,2002,610
France,Austria,2003,662
France,Austria,2004,775
France,Austria,2005,823
France,Austria,2006,858
France,Austria,2007,929
France,Austria,2008,960
France,Austria,2009,867
France,Austria,2010,880
France,Austria,2011,917
France,Austria,2012,1144
France,Austria,2013,1156
France,Austria,2014,1196
France,Austria,2015,1199
France,Austria,2016,1318
France,Belgium,2000,8108
France,Belgium,2001,8040
France,Belgium,2002,8135
France,Belgium,2003,8191
France,Belgium,2004,9520
France,Belgium,2005,10378
France,Belgium,2006,11570
France,Belgium,2007,12269
France,Belgium,2008,14086
France,Belgium,2009,12272
France,Belgium,2010,13500
France,Belgium,2011,13847
France,Belgium,2012,13338
France,Belgium,2013,13603
France,Belgium,2014,11969
France,Belgium,2015,11977
France,Belgium,2016,11073
France,Czech Republic,2003,451
France,Czech Republic,2004,388
France,Czech Republic,2005,215
France,Czech Republic,2006,163
France,Czech Republic,2007,409
France,Czech Republic,2008,286
France,Czech Republic,2009,306
France,Czech Republic,2010,267
France,Czech Republic,2011,187
France,Czech Republic,2012,215
France,Czech Republic,2013,233
France,Czech Republic,2014,273
France,Czech Republic,2015,252
France,Czech Republic,2016,285
France,Denmark,2000,323
France,Denmark,2001,298
France,Denmark,2002,291
France,Denmark,2003,332
France,Denmark,2004,365
France,Denmark,2005,517
France,Denmark,2006,623
France,Denmark,2007,617
France,Denmark,2008,630
France,Denmark,2009,583
France,Denmark,2010,665
France,Denmark,2011,696
France,Denmark,2012,673
France,Denmark,2013,735
France,Denmark,2014,746
France,Denmark,2015,840
France,Denmark,2016,840
France,Finland,2000,143
France,Finland,2001,139
France,Finland,2002,121
France,Finland,2003,134
France,Finland,2004,120
France,Finland,2005,212
France,Finland,2006,201
France,Finland,2007,234
France,Finland,2008,223
France,Finland,2009,172
France,Finland,2010,175
France,Finland,2011,176
France,Finland,2012,190
France,Finland,2013,203
France,Finland,2014,260
France,Finland,2015,226
France,Finland,2016,255
France,France,2000,0
France,France,2001,0
France,France,2002,0
France,France,2003,0
France,France,2004,0
France,France,2005,0
France,France,2006,0
France,France,2007,0
France,France,2008,0
France,France,2009,0
France,France,2010,0
France,France,2011,0
France,France,2012,0
France,France,2013,0
France,France,2014,0
France,France,2015,0
France,Germany,2000,15276
France,Germany,2001,13451
France,Germany,2002,12747
France,Germany,2003,12324
France,Germany,2004,12488
France,Germany,2005,12260
France,Germany,2006,13633
France,Germany,2007,13766
France,Germany,2008,12979
France,Germany,2009,12858
France,Germany,2010,13349
France,Germany,2011,13830
France,Germany,2012,14458
France,Germany,2013,15215
France,Germany,2014,15723
France,Germany,2015,14908
France,Germany,2016,15523
France,Hungary,2000,188
France,Hungary,2001,221
France,Hungary,2002,235
France,Hungary,2003,245
France,Hungary,2004,21
France,Hungary,2005,650
France,Hungary,2006,64
France,Hungary,2007,44
France,Hungary,2008,376
France,Hungary,2009,387
France,Hungary,2010,344
France,Hungary,2011,328
France,Hungary,2012,315
France,Hungary,2013,310
France,Hungary,2014,397
France,Hungary,2015,376
France,Hungary,2016,378
France,Iceland,2000,40
France,Iceland,2001,45
France,Iceland,2002,24
France,Iceland,2003,17
France,Iceland,2004,24
France,Iceland,2005,35
France,Iceland,2006,48
France,Iceland,2007,60
France,Iceland,2008,102
France,Iceland,2009,71
France,Iceland,2010,105
France,Iceland,2011,53
France,Iceland,2012,47
France,Iceland,2013,107
France,Iceland,2014,132
France,Iceland,2015,134
France,Iceland,2016,151
France,Italy,2000,2255
France,Italy,2001,2276
France,Italy,2002,2154
France,Italy,2003,1791
France,Italy,2004,1752
France,Italy,2005,2347
France,Italy,2006,2195
France,Italy,2007,2668
France,Italy,2008,2497
France,Italy,2009,2345
France,Italy,2010,2012
France,Italy,2011,1892
France,Italy,2012,1896
France,Italy,2013,1846
France,Italy,2014,1729
France,Italy,2015,1703
France,Italy,2016,1777
France,Luxembourg,2000,2271
France,Luxembourg,2001,2123
France,Luxembourg,2002,1895
France,Luxembourg,2003,1866
France,Luxembourg,2004,1957
France,Luxembourg,2005,2227
France,Luxembourg,2006,2510
France,Luxembourg,2007,2799
France,Luxembourg,2008,3201
France,Luxembourg,2009,2730
France,Luxembourg,2010,2909
France,Luxembourg,2011,3227
France,Luxembourg,2012,3523
France,Luxembourg,2013,3501
France,Luxembourg,2014,3897
France,Luxembourg,2015,4119
France,Luxembourg,2016,3962
France,Netherlands,2000,2166
France,Netherlands,2001,2158
France,Netherlands,2002,2037
France,Netherlands,2003,1850
France,Netherlands,2004,1815
France,Netherlands,2005,1823
France,Netherlands,2006,1972
France,Netherlands,2007,2211
France,Netherlands,2008,3029
France,Netherlands,2009,2872
France,Netherlands,2010,2928
France,Netherlands,2011,2930
France,Netherlands,2012,2980
France,Netherlands,2013,3166
France,Netherlands,2014,3644
France,Netherlands,2015,4038
France,Netherlands,2016,4522
France,Norway,2000,341
France,Norway,2001,395
France,Norway,2002,341
France,Norway,2003,289
France,Norway,2004,326
France,Norway,2005,405
France,Norway,2006,495
France,Norway,2007,640
France,Norway,2008,750
France,Norway,2009,664
France,Norway,2010,819
France,Norway,2011,865
France,Norway,2012,731
France,Norway,2013,832
France,Norway,2014,831
France,Norway,2015,746
France,Norway,2016,641
France,Poland,2000,882
France,Poland,2001,995
France,Poland,2002,1486
France,Poland,2003,1035
France,Poland,2004,1513
France,Poland,2005,1079
France,Poland,2006,524
France,Poland,2007,829
France,Poland,2008,559
France,Poland,2009,560
France,Poland,2010,496
France,Poland,2011,586
France,Poland,2012,591
France,Poland,2013,572
France,Poland,2014,572
France,Poland,2015,619
France,Poland,2016,588
France,Portugal,2000,701
France,Portugal,2001,578
France,Portugal,2002,584
France,Portugal,2003,484
France,Portugal,2004,464
France,Portugal,2005,351
France,Portugal,2006,164
France,Portugal,2007,840
France,Portugal,2008,732
France,Portugal,2009,718
France,Portugal,2010,696
France,Portugal,2011,666
France,Portugal,2012,537
France,Portugal,2013,703
France,Portugal,2014,1930
France,Portugal,2015,2495
France,Portugal,2016,3475
France,Slovak Republic,2003,142
France,Slovak Republic,2004,284
France,Slovak Republic,2005,319
France,Slovak Republic,2006,272
France,Slovak Republic,2007,295
France,Slovak Republic,2008,223
France,Slovak Republic,2009,249
France,Slovak Republic,2010,195
France,Slovak Republic,2011,152
France,Slovak Republic,2012,51
France,Slovak Republic,2013,50
France,Slovak Republic,2014,52
France,Slovak Republic,2015,77
France,Slovak Republic,2016,78
France,Spain,2000,4231
France,Spain,2001,4948
France,Spain,2002,5459
France,Spain,2003,5899
France,Spain,2004,9912
France,Spain,2005,11127
France,Spain,2006,12717
France,Spain,2007,12986
France,Spain,2008,8898
France,Spain,2009,7742
France,Spain,2010,7788
France,Spain,2011,7807
France,Spain,2012,7431
France,Spain,2013,7287
France,Spain,2014,8095
France,Spain,2015,9020
France,Spain,2016,9413
France,Sweden,2000,591
France,Sweden,2001,661
France,Sweden,2002,547
France,Sweden,2003,487
France,Sweden,2004,570
France,Sweden,2005,618
France,Sweden,2006,756
France,Sweden,2007,890
France,Sweden,2008,957
France,Sweden,2009,847
France,Sweden,2010,723
France,Sweden,2011,852
France,Sweden,2012,737
France,Sweden,2013,823
France,Sweden,2014,846
France,Sweden,2015,1001
France,Sweden,2016,1060
France,Switzerland,2000,6607
France,Switzerland,2001,6630
France,Switzerland,2002,6792
France,Switzerland,2003,6647
France,Switzerland,2004,6674
France,Switzerland,2005,6869
France,Switzerland,2006,7634
France,Switzerland,2007,11499
France,Switzerland,2008,13687
France,Switzerland,2009,10897
France,Switzerland,2010,11548
France,Switzerland,2011,11463
France,Switzerland,2012,11382
France,Switzerland,2013,13463
France,Switzerland,2014,13839
France,Switzerland,2015,14767
France,Switzerland,2016,13790
France,United Kingdom,2000,14668
France,United Kingdom,2001,16208
France,United Kingdom,2002,9000
France,United Kingdom,2003,21000
France,United Kingdom,2004,10000
France,United Kingdom,2009,14000
France,United Kingdom,2010,11000
France,United Kingdom,2011,17000
France,United Kingdom,2012,14000
France,United Kingdom,2013,15000
France,United Kingdom,2014,24000
France,United Kingdom,2015,15000
France,United Kingdom,2016,25000
France,Estonia,2004,3
France,Estonia,2005,5
France,Estonia,2006,28
France,Estonia,2007,38
France,Estonia,2008,48
France,Estonia,2009,58
France,Estonia,2010,46
France,Estonia,2011,1
France,Estonia,2012,2
France,Estonia,2013,7
France,Estonia,2014,1
France,Estonia,2015,185
France,Estonia,2016,206
France,Slovenia,2007,15
France,Slovenia,2008,130
France,Slovenia,2009,117
France,Slovenia,2010,2
France,Slovenia,2011,117
France,Slovenia,2012,126
France,Slovenia,2013,221
France,Slovenia,2014,151
France,Slovenia,2015,178
France,Slovenia,2016,191
Germany,Austria,2000,7500
Germany,Austria,2001,10227
Germany,Austria,2002,9188
Germany,Austria,2003,10924
Germany,Austria,2004,13212
Germany,Austria,2005,14715
Germany,Austria,2006,15884
Germany,Austria,2007,17953
Germany,Austria,2008,19206
Germany,Austria,2009,17553
Germany,Austria,2010,17966
Germany,Austria,2011,17410
Germany,Austria,2012,17774
Germany,Austria,2013,17743
Germany,Austria,2014,16757
Germany,Austria,2015,17028
Germany,Austria,2016,16103
Germany,Belgium,2000,3037
Germany,Belgium,2001,2884
Germany,Belgium,2002,2966
Germany,Belgium,2003,2942
Germany,Belgium,2004,3307
Germany,Belgium,2005,3250
Germany,Belgium,2006,3290
Germany,Belgium,2007,3385
Germany,Belgium,2008,3763
Germany,Belgium,2009,3401
Germany,Belgium,2010,3302
Germany,Belgium,2011,3141
Germany,Belgium,2012,2892
Germany,Belgium,2013,2925
Germany,Belgium,2014,2450
Germany,Belgium,2015,2455
Germany,Belgium,2016,2412
Germany,Czech Republic,2000,142
Germany,Czech Republic,2001,244
Germany,Czech Republic,2002,811
Germany,Czech Republic,2003,849
Germany,Czech Republic,2004,1305
Germany,Czech Republic,2005,1431
Germany,Czech Republic,2006,797
Germany,Czech Republic,2007,1932
Germany,Czech Republic,2008,4308
Germany,Czech Republic,2009,1975
Germany,Czech Republic,2010,2002
Germany,Czech Republic,2011,1338
Germany,Czech Republic,2012,1319
Germany,Czech Republic,2013,1676
Germany,Czech Republic,2014,1613
Germany,Czech Republic,2015,1123
Germany,Czech Republic,2016,1040
Germany,Denmark,2000,790
Germany,Denmark,2001,887
Germany,Denmark,2002,845
Germany,Denmark,2003,826
Germany,Denmark,2004,1029
Germany,Denmark,2005,1340
Germany,Denmark,2006,1877
Germany,Denmark,2007,3003
Germany,Denmark,2008,3029
Germany,Denmark,2009,2155
Germany,Denmark,2010,1904
Germany,Denmark,2011,1882
Germany,Denmark,2012,1799
Germany,Denmark,2013,1785
Germany,Denmark,2014,1966
Germany,Denmark,2015,2039
Germany,Denmark,2016,2039
Germany,Finland,2000,204
Germany,Finland,2001,244
Germany,Finland,2002,242
Germany,Finland,2003,234
Germany,Finland,2004,312
Germany,Finland,2005,312
Germany,Finland,2006,353
Germany,Finland,2007,504
Germany,Finland,2008,447
Germany,Finland,2009,347
Germany,Finland,2010,296
Germany,Finland,2011,307
Germany,Finland,2012,303
Germany,Finland,2013,299
Germany,Finland,2014,294
Germany,Finland,2015,301
Germany,Finland,2016,318
Germany,France,2000,0
Germany,France,2001,0
Germany,France,2002,0
Germany,France,2003,0
Germany,France,2004,0
Germany,France,2005,0
Germany,France,2006,0
Germany,France,2007,0
Germany,France,2008,0
Germany,France,2009,0
Germany,France,2010,0
Germany,France,2011,0
Germany,France,2012,0
Germany,France,2013,7738
Germany,France,2014,6420
Germany,France,2015,7119
Germany,France,2016,6190
Germany,Hungary,2000,785
Germany,Hungary,2001,753
Germany,Hungary,2002,337
Germany,Hungary,2003,392
Germany,Hungary,2004,57
Germany,Hungary,2005,3857
Germany,Hungary,2006,722
Germany,Hungary,2007,711
Germany,Hungary,2008,3201
Germany,Hungary,2009,2694
Germany,Hungary,2010,2420
Germany,Hungary,2011,2428
Germany,Hungary,2012,2073
Germany,Hungary,2013,1991
Germany,Hungary,2014,1952
Germany,Hungary,2015,1968
Germany,Hungary,2016,2282
Germany,Iceland,2000,167
Germany,Iceland,2001,178
Germany,Iceland,2002,146
Germany,Iceland,2003,71
Germany,Iceland,2004,135
Germany,Iceland,2005,299
Germany,Iceland,2006,316
Germany,Iceland,2007,305
Germany,Iceland,2008,320
Germany,Iceland,2009,204
Germany,Iceland,2010,192
Germany,Iceland,2011,155
Germany,Iceland,2012,107
Germany,Iceland,2013,216
Germany,Iceland,2014,214
Germany,Iceland,2015,191
Germany,Iceland,2016,258
Germany,Italy,2000,2519
Germany,Italy,2001,2372
Germany,Italy,2002,2275
Germany,Italy,2003,2418
Germany,Italy,2004,2119
Germany,Italy,2005,2662
Germany,Italy,2006,2489
Germany,Italy,2007,3703
Germany,Italy,2008,3132
Germany,Italy,2009,2538
Germany,Italy,2010,2099
Germany,Italy,2011,2034
Germany,Italy,2012,1877
Germany,Italy,2013,1668
Germany,Italy,2014,1435
Germany,Italy,2015,1449
Germany,Italy,2016,1528
Germany,Luxembourg,2000,631
Germany,Luxembourg,2001,657
Germany,Luxembourg,2002,646
Germany,Luxembourg,2003,741
Germany,Luxembourg,2004,802
Germany,Luxembourg,2005,781
Germany,Luxembourg,2006,929
Germany,Luxembourg,2007,1045
Germany,Luxembourg,2008,1130
Germany,Luxembourg,2009,1008
Germany,Luxembourg,2010,1008
Germany,Luxembourg,2011,1110
Germany,Luxembourg,2012,1006
Germany,Luxembourg,2013,1037
Germany,Luxembourg,2014,1023
Germany,Luxembourg,2015,1020
Germany,Luxembourg,2016,945
Germany,Netherlands,2000,4855
Germany,Netherlands,2001,5064
Germany,Netherlands,2002,5091
Germany,Netherlands,2003,4814
Germany,Netherlands,2004,5305
Germany,Netherlands,2005,5930
Germany,Netherlands,2006,7150
Germany,Netherlands,2007,7450
Germany,Netherlands,2008,9010
Germany,Netherlands,2009,8714
Germany,Netherlands,2010,9812
Germany,Netherlands,2011,9604
Germany,Netherlands,2012,8730
Germany,Netherlands,2013,8056
Germany,Netherlands,2014,8191
Germany,Netherlands,2015,8622
Germany,Netherlands,2016,9449
Germany,Norway,2000,993
Germany,Norway,2001,1083
Germany,Norway,2002,1241
Germany,Norway,2003,1187
Germany,Norway,2004,1396
Germany,Norway,2005,1735
Germany,Norway,2006,2281
Germany,Norway,2007,3794
Germany,Norway,2008,4325
Germany,Norway,2009,2818
Germany,Norway,2010,2678
Germany,Norway,2011,2315
Germany,Norway,2012,1765
Germany,Norway,2013,1597
Germany,Norway,2014,1542
Germany,Norway,2015,1311
Germany,Norway,2016,1260
Germany,Poland,2000,707
Germany,Poland,2001,1083
Germany,Poland,2002,1576
Germany,Poland,2003,1495
Germany,Poland,2004,2196
Germany,Poland,2005,6125
Germany,Poland,2006,4623
Germany,Poland,2007,6694
Germany,Poland,2008,2927
Germany,Poland,2009,1681
Germany,Poland,2010,1774
Germany,Poland,2011,1915
Germany,Poland,2012,2281
Germany,Poland,2013,1981
Germany,Poland,2014,1981
Germany,Poland,2015,2321
Germany,Poland,2016,2334
Germany,Portugal,2000,801
Germany,Portugal,2001,744
Germany,Portugal,2002,703
Germany,Portugal,2003,646
Germany,Portugal,2004,588
Germany,Portugal,2005,502
Germany,Portugal,2006,292
Germany,Portugal,2007,1640
Germany,Portugal,2008,1135
Germany,Portugal,2009,1096
Germany,Portugal,2010,998
Germany,Portugal,2011,802
Germany,Portugal,2012,649
Germany,Portugal,2013,761
Germany,Portugal,2014,1003
Germany,Portugal,2015,1024
Germany,Portugal,2016,1587
Germany,Slovak Republic,2003,252
Germany,Slovak Republic,2004,595
Germany,Slovak Republic,2005,888
Germany,Slovak Republic,2006,913
Germany,Slovak Republic,2007,896
Germany,Slovak Republic,2008,1146
Germany,Slovak Republic,2009,594
Germany,Slovak Republic,2010,452
Germany,Slovak Republic,2011,265
Germany,Slovak Republic,2012,129
Germany,Slovak Republic,2013,90
Germany,Slovak Republic,2014,76
Germany,Slovak Republic,2015,147
Germany,Slovak Republic,2016,131
Germany,Spain,2000,10247
Germany,Spain,2001,10712
Germany,Spain,2002,11191
Germany,Spain,2003,10759
Germany,Spain,2004,13967
Germany,Spain,2005,15220
Germany,Spain,2006,16906
Germany,Spain,2007,17815
Germany,Spain,2008,11282
Germany,Spain,2009,9268
Germany,Spain,2010,8319
Germany,Spain,2011,8263
Germany,Spain,2012,8005
Germany,Spain,2013,7241
Germany,Spain,2014,6823
Germany,Spain,2015,6745
Germany,Spain,2016,7291
Germany,Sweden,2000,1461
Germany,Sweden,2001,1639
Germany,Sweden,2002,1676
Germany,Sweden,2003,1775
Germany,Sweden,2004,1832
Germany,Sweden,2005,2016
Germany,Sweden,2006,2883
Germany,Sweden,2007,3614
Germany,Sweden,2008,3405
Germany,Sweden,2009,2773
Germany,Sweden,2010,2202
Germany,Sweden,2011,2205
Germany,Sweden,2012,2150
Germany,Sweden,2013,2196
Germany,Sweden,2014,2165
Germany,Sweden,2015,2293
Germany,Sweden,2016,2485
Germany,Switzerland,2000,12516
Germany,Switzerland,2001,14631
Germany,Switzerland,2002,15538
Germany,Switzerland,2003,14937
Germany,Switzerland,2004,18100
Germany,Switzerland,2005,20360
Germany,Switzerland,2006,24786
Germany,Switzerland,2007,41058
Germany,Switzerland,2008,46385
Germany,Switzerland,2009,33941
Germany,Switzerland,2010,30745
Germany,Switzerland,2011,30506
Germany,Switzerland,2012,27123
Germany,Switzerland,2013,26640
Germany,Switzerland,2014,23752
Germany,Switzerland,2015,22137
Germany,Switzerland,2016,20891
Germany,United Kingdom,2000,11395
Germany,United Kingdom,2001,16087
Germany,United Kingdom,2006,13000
Germany,United Kingdom,2007,15000
Germany,United Kingdom,2008,18000
Germany,United Kingdom,2009,11000
Germany,United Kingdom,2010,7000
Germany,United Kingdom,2011,13000
Germany,United Kingdom,2012,8000
Germany,United Kingdom,2013,10000
Germany,United Kingdom,2014,13000
Germany,United Kingdom,2015,10000
Germany,United Kingdom,2016,9000
Germany,Estonia,2004,22
Germany,Estonia,2005,43
Germany,Estonia,2006,88
Germany,Estonia,2007,132
Germany,Estonia,2008,123
Germany,Estonia,2009,104
Germany,Estonia,2010,34
Germany,Estonia,2011,8
Germany,Estonia,2012,10
Germany,Estonia,2013,9
Germany,Estonia,2014,10
Germany,Estonia,2015,402
Germany,Estonia,2016,456
Germany,Slovenia,2007,198
Germany,Slovenia,2008,221
Germany,Slovenia,2009,194
Germany,Slovenia,2010,8
Germany,Slovenia,2011,202
Germany,Slovenia,2012,254
Germany,Slovenia,2013,248
Germany,Slovenia,2014,246
Germany,Slovenia,2015,286
Germany,Slovenia,2016,253
Greece,Austria,2000,516
Greece,Austria,2001,407
Greece,Austria,2002,393
Greece,Austria,2003,455
Greece,Austria,2004,406
Greece,Austria,2005,359
Greece,Austria,2006,334
Greece,Austria,2007,347
Greece,Austria,2008,364
Greece,Austria,2009,430
Greece,Austria,2010,519
Greece,Austria,2011,813
Greece,Austria,2012,1201
Greece,Austria,2013,1362
Greece,Austria,2014,1109
Greece,Austria,2015,1161
Greece,Austria,2016,1088
Greece,Belgium,2000,533
Greece,Belgium,2001,554
Greece,Belgium,2002,593
Greece,Belgium,2003,641
Greece,Belgium,2004,601
Greece,Belgium,2005,716
Greece,Belgium,2006,558
Greece,Belgium,2007,495
Greece,Belgium,2008,755
Greece,Belgium,2009,725
Greece,Belgium,2010,751
Greece,Belgium,2011,1099
Greece,Belgium,2012,1510
Greece,Belgium,2013,1343
Greece,Belgium,2014,1203
Greece,Belgium,2015,1250
Greece,Belgium,2016,1132
Greece,Czech Republic,2003,43
Greece,Czech Republic,2004,56
Greece,Czech Republic,2005,24
Greece,Czech Republic,2006,24
Greece,Czech Republic,2007,67
Greece,Czech Republic,2008,63
Greece,Czech Republic,2009,42
Greece,Czech Republic,2010,41
Greece,Czech Republic,2011,49
Greece,Czech Republic,2012,81
Greece,Czech Republic,2013,119
Greece,Czech Republic,2014,111
Greece,Czech Republic,2015,96
Greece,Czech Republic,2016,150
Greece,Denmark,2000,53
Greece,Denmark,2001,65
Greece,Denmark,2002,48
Greece,Denmark,2003,56
Greece,Denmark,2004,59
Greece,Denmark,2005,71
Greece,Denmark,2006,94
Greece,Denmark,2007,84
Greece,Denmark,2008,113
Greece,Denmark,2009,135
Greece,Denmark,2010,144
Greece,Denmark,2011,258
Greece,Denmark,2012,367
Greece,Denmark,2013,437
Greece,Denmark,2014,395
Greece,Denmark,2015,420
Greece,Denmark,2016,420
Greece,Finland,2000,31
Greece,Finland,2001,42
Greece,Finland,2002,19
Greece,Finland,2003,37
Greece,Finland,2004,38
Greece,Finland,2005,31
Greece,Finland,2006,37
Greece,Finland,2007,36
Greece,Finland,2008,51
Greece,Finland,2009,35
Greece,Finland,2010,51
Greece,Finland,2011,85
Greece,Finland,2012,117
Greece,Finland,2013,125
Greece,Finland,2014,145
Greece,Finland,2015,119
Greece,Finland,2016,262
Greece,France,2000,0
Greece,France,2001,0
Greece,France,2002,0
Greece,France,2003,0
Greece,France,2004,0
Greece,France,2005,0
Greece,France,2006,0
Greece,France,2007,0
Greece,France,2008,0
Greece,France,2009,0
Greece,France,2010,0
Greece,France,2011,0
Greece,France,2012,0
Greece,France,2013,1035
Greece,France,2014,846
Greece,France,2015,908
Greece,France,2016,951
Greece,Germany,2000,17403
Greece,Germany,2001,16153
Greece,Germany,2002,14957
Greece,Germany,2003,12146
Greece,Germany,2004,10205
Greece,Germany,2005,8975
Greece,Germany,2006,8189
Greece,Germany,2007,8032
Greece,Germany,2008,8266
Greece,Germany,2009,8574
Greece,Germany,2010,12256
Greece,Germany,2011,23043
Greece,Germany,2012,32660
Greece,Germany,2013,32088
Greece,Germany,2014,28752
Greece,Germany,2015,28256
Greece,Germany,2016,27114
Greece,Hungary,2000,66
Greece,Hungary,2001,43
Greece,Hungary,2002,31
Greece,Hungary,2003,36
Greece,Hungary,2004,7
Greece,Hungary,2005,88
Greece,Hungary,2006,19
Greece,Hungary,2007,27
Greece,Hungary,2008,50
Greece,Hungary,2009,44
Greece,Hungary,2010,39
Greece,Hungary,2011,63
Greece,Hungary,2012,64
Greece,Hungary,2013,71
Greece,Hungary,2014,62
Greece,Hungary,2015,92
Greece,Hungary,2016,97
Greece,Iceland,2000,3
Greece,Iceland,2001,5
Greece,Iceland,2002,0
Greece,Iceland,2003,2
Greece,Iceland,2004,2
Greece,Iceland,2005,1
Greece,Iceland,2006,3
Greece,Iceland,2007,5
Greece,Iceland,2008,4
Greece,Iceland,2009,8
Greece,Iceland,2010,5
Greece,Iceland,2011,8
Greece,Iceland,2012,5
Greece,Iceland,2013,12
Greece,Iceland,2014,10
Greece,Iceland,2015,14
Greece,Iceland,2016,30
Greece,Italy,2000,535
Greece,Italy,2002,462
Greece,Italy,2003,436
Greece,Italy,2004,394
Greece,Italy,2005,354
Greece,Italy,2006,361
Greece,Italy,2007,450
Greece,Italy,2008,413
Greece,Italy,2009,400
Greece,Italy,2010,362
Greece,Italy,2011,440
Greece,Italy,2012,561
Greece,Italy,2013,582
Greece,Italy,2014,458
Greece,Italy,2015,457
Greece,Italy,2016,454
Greece,Luxembourg,2000,93
Greece,Luxembourg,2001,69
Greece,Luxembourg,2002,48
Greece,Luxembourg,2003,72
Greece,Luxembourg,2004,52
Greece,Luxembourg,2005,119
Greece,Luxembourg,2006,125
Greece,Luxembourg,2007,95
Greece,Luxembourg,2008,94
Greece,Luxembourg,2009,99
Greece,Luxembourg,2010,122
Greece,Luxembourg,2011,185
Greece,Luxembourg,2012,276
Greece,Luxembourg,2013,264
Greece,Luxembourg,2014,289
Greece,Luxembourg,2015,356
Greece,Luxembourg,2016,436
Greece,Netherlands,2000,724
Greece,Netherlands,2001,857
Greece,Netherlands,2002,865
Greece,Netherlands,2003,746
Greece,Netherlands,2004,734
Greece,Netherlands,2005,846
Greece,Netherlands,2006,977
Greece,Netherlands,2007,1003
Greece,Netherlands,2008,1394
Greece,Netherlands,2009,1373
Greece,Netherlands,2010,1831
Greece,Netherlands,2011,2651
Greece,Netherlands,2012,3319
Greece,Netherlands,2013,2947
Greece,Netherlands,2014,2558
Greece,Netherlands,2015,2806
Greece,Netherlands,2016,3061
Greece,Norway,2000,53
Greece,Norway,2001,39
Greece,Norway,2002,47
Greece,Norway,2003,43
Greece,Norway,2004,35
Greece,Norway,2005,50
Greece,Norway,2006,58
Greece,Norway,2007,62
Greece,Norway,2008,118
Greece,Norway,2009,55
Greece,Norway,2010,110
Greece,Norway,2011,258
Greece,Norway,2012,396
Greece,Norway,2013,562
Greece,Norway,2014,519
Greece,Norway,2015,509
Greece,Norway,2016,506
Greece,Poland,2000,30
Greece,Poland,2001,33
Greece,Poland,2002,46
Greece,Poland,2003,50
Greece,Poland,2004,66
Greece,Poland,2005,80
Greece,Poland,2006,52
Greece,Poland,2007,65
Greece,Poland,2008,63
Greece,Poland,2009,66
Greece,Poland,2010,68
Greece,Poland,2011,69
Greece,Poland,2012,106
Greece,Poland,2013,138
Greece,Poland,2014,138
Greece,Poland,2015,131
Greece,Poland,2016,141
Greece,Slovak Republic,2003,43
Greece,Slovak Republic,2004,42
Greece,Slovak Republic,2005,15
Greece,Slovak Republic,2006,35
Greece,Slovak Republic,2007,65
Greece,Slovak Republic,2008,50
Greece,Slovak Republic,2009,67
Greece,Slovak Republic,2010,62
Greece,Slovak Republic,2011,42
Greece,Slovak Republic,2012,15
Greece,Slovak Republic,2013,16
Greece,Slovak Republic,2014,19
Greece,Slovak Republic,2015,57
Greece,Slovak Republic,2016,48
Greece,Spain,2000,91
Greece,Spain,2001,133
Greece,Spain,2002,198
Greece,Spain,2003,277
Greece,Spain,2004,524
Greece,Spain,2005,687
Greece,Spain,2006,633
Greece,Spain,2007,639
Greece,Spain,2008,508
Greece,Spain,2009,376
Greece,Spain,2010,372
Greece,Spain,2011,526
Greece,Spain,2012,513
Greece,Spain,2013,486
Greece,Spain,2014,455
Greece,Spain,2015,476
Greece,Spain,2016,556
Greece,Sweden,2000,283
Greece,Sweden,2001,349
Greece,Sweden,2002,341
Greece,Sweden,2003,309
Greece,Sweden,2004,251
Greece,Sweden,2005,302
Greece,Sweden,2006,442
Greece,Sweden,2007,533
Greece,Sweden,2008,640
Greece,Sweden,2009,483
Greece,Sweden,2010,520
Greece,Sweden,2011,929
Greece,Sweden,2012,1348
Greece,Sweden,2013,1378
Greece,Sweden,2014,1088
Greece,Sweden,2015,1117
Greece,Sweden,2016,1285
Greece,Switzerland,2000,296
Greece,Switzerland,2001,289
Greece,Switzerland,2002,291
Greece,Switzerland,2003,326
Greece,Switzerland,2004,321
Greece,Switzerland,2005,331
Greece,Switzerland,2006,413
Greece,Switzerland,2007,590
Greece,Switzerland,2008,637
Greece,Switzerland,2009,672
Greece,Switzerland,2010,741
Greece,Switzerland,2011,1084
Greece,Switzerland,2012,1613
Greece,Switzerland,2013,1675
Greece,Switzerland,2014,1422
Greece,Switzerland,2015,1530
Greece,Switzerland,2016,1580
Greece,United Kingdom,2000,5503
Greece,United Kingdom,2001,5589
Greece,United Kingdom,2011,6000
Greece,United Kingdom,2012,6000
Greece,United Kingdom,2013,4000
Greece,United Kingdom,2014,4000
Greece,United Kingdom,2015,11000
Greece,United Kingdom,2016,5000
Greece,Estonia,2004,0
Greece,Estonia,2005,0
Greece,Estonia,2006,4
Greece,Estonia,2007,0
Greece,Estonia,2008,1
Greece,Estonia,2009,6
Greece,Estonia,2010,7
Greece,Estonia,2011,0
Greece,Estonia,2012,1
Greece,Estonia,2013,2
Greece,Estonia,2014,1
Greece,Estonia,2015,20
Greece,Estonia,2016,32
Greece,Slovenia,2007,8
